nom,brillance,masse,rayon,rayonOrbite,periodeOrbite,excentricite,type
Kepler-134 b,12.318,4.66,12742.0,0.06,0.01451061,0.0,Super Earth
Kepler-134 c,12.318,2.13,8027.46,0.092,0.027652293,0.0,Super Earth
Kepler-1350 b,16.577,6.9,15729.975,0.0413,0.0123203285,0.0,Neptune-like
Kepler-1350 c,16.577,3.64,11021.83,0.0222,0.004928131,0.0,Super Earth
Kepler-1351 b,14.328,0.208,4141.150000000001,0.0156,0.0024640656,0.0,Terrestrial
Kepler-1352 b,13.338,0.64,5670.1900000000005,0.03,0.005201916,0.0,Terrestrial
Kepler-1353 b,15.734,3.89,11467.800000000001,0.153,0.0678987,0.0,Super Earth
Kepler-1354 b,14.59,9.11,18526.415,0.3521,0.20971936,0.0,Neptune-like
Kepler-1355 b,15.595,2.73,9301.66,0.0224,0.003559206,0.0,Super Earth
Kepler-1356 b,15.887,2.96,9747.630000000001,0.0136,0.0016427105,0.0,Super Earth
Kepler-1357 b,15.322,2.18,8154.88,0.041,0.008213553,0.0,Super Earth
Kepler-1358 b,14.693,1.46,7135.52,0.0656,0.01943874,0.0,Super Earth
Kepler-1359 b,15.987,8.4,17617.572,0.2769,0.16290212,0.0,Neptune-like
Kepler-135 b,12.794,3.93,11531.51,0.067,0.016427105,0.0,Super Earth
Kepler-135 c,12.794,1.65,7390.36,0.103,0.031211497,0.0,Super Earth
Kepler-1360 b,14.007,11.5,21183.033,0.2866,0.11088296,0.0,Neptune-like
Kepler-1361 b,14.096,0.566,5479.0599999999995,0.0431,0.009856262,0.0,Terrestrial
Kepler-1362 b,16.05,7.27,16219.352,0.4626,0.37289527,0.0,Neptune-like
Kepler-1363 b,15.454,2.1,7963.75,0.0363,0.007939767,0.0,Super Earth
Kepler-1364 b,13.196,5.27,13697.65,0.1284,0.036413416,0.0,Neptune-like
Kepler-1365 b,13.417,0.721,5861.320000000001,0.075,0.021081451,0.0,Terrestrial
Kepler-1365 c,13.417,0.437,5096.8,0.0545,0.013141684,0.0,Terrestrial
Kepler-1366 b,16.685,2.63,9110.529999999999,0.0273,0.006023272,0.0,Super Earth
Kepler-1367 b,16.012,0.721,5861.320000000001,0.0236,0.0043805614,0.0,Terrestrial
Kepler-1368 b,15.914,3.36,10512.15,0.0153,0.0019164955,0.0,Super Earth
Kepler-1369 b,15.621,7.7,16778.64,0.1741,0.070910335,0.0,Neptune-like
Kepler-136 b,11.822,19.8,13060.55,0.106,0.03175907,0.0,Super Earth
Kepler-136 c,11.822,4.62,12678.289999999999,0.133,0.044900753,0.0,Super Earth
Kepler-1370 b,13.718,4.04,11722.640000000001,0.1495,0.05557837,0.0,Super Earth
Kepler-1370 c,13.718,2.15,8091.17,0.0767,0.020260096,0.0,Super Earth
Kepler-1371 b,14.018,0.315,4650.83,0.0393,0.009308693,0.0,Terrestrial
Kepler-1371 c,14.018,0.196,4077.44,0.0274,0.0054757018,0.0,Terrestrial
Kepler-1372 b,15.667,2.15,8091.17,0.024,0.003559206,0.0,Super Earth
Kepler-1373 b,14.328,1.65,7390.36,0.0242,0.003559206,0.0,Super Earth
Kepler-1374 b,15.991,5.86,14261.844,0.0918,0.029295003,0.0,Neptune-like
Kepler-1375 b,13.864,3.68,11085.539999999999,0.0471,0.009034907,0.0,Super Earth
Kepler-1376 b,14.792,1.16,6689.55,0.0598,0.01451061,0.0,Super Earth
Kepler-1377 b,15.857,2.1,7963.75,0.0153,0.0019164955,0.0,Super Earth
Kepler-1378 b,16.5497,5.48,14016.2,0.0885,0.03285421,0.0,Neptune-like
Kepler-1379 b,16.107,2.24,8282.300000000001,0.0171,0.0024640656,0.0,Super Earth
Kepler-137 b,13.063,2.76,9365.369999999999,0.077,0.022997946,0.0,Super Earth
Kepler-137 c,13.063,4.19,11977.48,0.13,0.051197812,0.0,Super Earth
Kepler-1380 b,15.816,2.63,9110.529999999999,0.0917,0.028199865,0.0,Super Earth
Kepler-1381 b,15.579,5.69,14052.111,0.1728,0.06954141,0.0,Neptune-like
Kepler-1382 b,12.857,4.19,11977.48,0.1404,0.044900753,0.0,Super Earth
Kepler-1383 b,13.832,2.57,8983.109999999999,0.1179,0.038056124,0.0,Super Earth
Kepler-1384 b,15.7578,4.42,12359.74,0.1126,0.042162903,0.0,Super Earth
Kepler-1385 b,12.947,0.543,5415.349999999999,0.0415,0.007939767,0.0,Terrestrial
Kepler-1386 b,14.597,2.07,7900.04,0.068,0.0183436,0.0,Super Earth
Kepler-1387 b,14.727,0.749,5925.030000000001,0.031,0.0062970566,0.0,Terrestrial
Kepler-1388 b,16.43,7.22,16149.441,0.0882,0.033675566,0.0,Neptune-like
Kepler-1388 c,16.43,5.73,14122.022,0.0519,0.015058179,0.0,Neptune-like
Kepler-1388 d,16.43,8.55,17827.305,0.126,0.057494868,0.0,Neptune-like
Kepler-1388 e,16.43,6.62,15310.509,0.1861,0.10294318,0.0,Neptune-like
Kepler-1389 b,14.896,3.78,11276.67,0.3869,0.2718686,0.0,Super Earth
Kepler-138 b,13.04,0.07,4077.44,0.0753,0.028199865,0.02,Terrestrial
Kepler-138 c,13.04,2.3,9620.210000000001,0.0913,0.03778234,0.02,Super Earth
Kepler-138 d,13.04,2.1,9620.210000000001,0.1288,0.06324436,0.01,Super Earth
Kepler-138 e,13.04,0.43,5077.687,0.1803,0.1045859,0.11,Terrestrial
Kepler-1390 b,14.558,1.76,7517.78,0.0662,0.01779603,0.0,Super Earth
Kepler-1391 b,13.906,3.46,10703.279999999999,0.2768,0.14893909,0.0,Super Earth
Kepler-1392 b,15.963,4.5,12487.16,0.1189,0.041341547,0.0,Super Earth
Kepler-1393 b,13.476,0.437,5096.8,0.0337,0.006570842,0.0,Terrestrial
Kepler-1394 b,11.714,2.51,8855.689999999999,0.0555,0.010677618,0.0,Super Earth
Kepler-1395 b,12.632,0.437,5096.8,0.0494,0.010403832,0.0,Terrestrial
Kepler-1396 b,14.691,4.94,13187.97,0.1406,0.049828887,0.0,Super Earth
Kepler-1397 b,14.324,3.61,10958.119999999999,0.2602,0.12977414,0.0,Super Earth
Kepler-1398 b,13.752,0.666,5733.900000000001,0.0392,0.007665982,0.0,Terrestrial
Kepler-1398 c,13.752,1.08,6562.13,0.051,0.011225188,0.0,Super Earth
Kepler-1399 b,15.572,2.1,7963.75,0.0276,0.0043805614,0.0,Super Earth
Kepler-139 b,12.775,8.96,18316.682,0.127,0.04325804,0.0,Neptune-like
Kepler-139 c,12.775,11.4,21113.122,0.586,0.4301164,0.0,Neptune-like
Kepler-1400 b,16.067,3.26,10321.02,0.0771,0.024914443,0.0,Super Earth
Kepler-1401 b,15.224,3.46,10703.279999999999,0.0975,0.030663928,0.0,Super Earth
Kepler-1402 b,14.78,0.363,4841.96,0.0322,0.0054757018,0.0,Terrestrial
Kepler-1403 b,15.713,5.22,13633.94,0.064,0.014236824,0.0,Neptune-like
Kepler-1404 b,15.931,4.7,12805.71,0.1143,0.043531828,0.0,Super Earth
Kepler-1405 b,16.028,14.9,24678.583,0.1778,0.077207394,0.0,Neptune-like
Kepler-1406 b,13.39,1.37,7008.1,0.0987,0.03175907,0.0,Super Earth
Kepler-1407 b,15.023,5.69,14052.111,0.1502,0.0550308,0.0,Neptune-like
Kepler-1408 b,12.124,0.64,5670.1900000000005,0.0425,0.008213553,0.0,Terrestrial
Kepler-1409 b,15.391,1.12,6625.84,0.0152,0.0021902807,0.0,Super Earth
Kepler-140 b,13.018,3.22,10257.310000000001,0.045,0.009034907,0.0,Super Earth
Kepler-140 c,13.018,3.89,11467.800000000001,0.414,0.25023958,0.0,Super Earth
Kepler-1410 b,16.319,3.82,11340.380000000001,0.2543,0.16673511,0.0,Super Earth
Kepler-1411 b,15.945,8.35,17617.572,0.4001,0.23572895,0.0,Neptune-like
Kepler-1412 b,13.347,0.498,5287.929999999999,0.0461,0.009856262,0.0,Terrestrial
Kepler-1413 b,16.473,3.97,11595.220000000001,0.1066,0.03613963,0.0,Super Earth
Kepler-1414 b,14.989,2.04,7836.33,0.0426,0.009582478,0.0,Super Earth
Kepler-1415 b,15.937,2.21,8218.59,0.0144,0.0016427105,0.0,Super Earth
Kepler-1416 b,14.369,0.615,5606.4800000000005,0.0257,0.0041067763,0.0,Terrestrial
Kepler-1417 b,14.038,0.972,6371.0,0.1431,0.055852156,0.0,Terrestrial
Kepler-1418 b,15.461,3.39,10575.859999999999,0.131,0.061601643,0.0,Super Earth
Kepler-1419 b,15.96,8.55,17827.305,0.2391,0.11635866,0.0,Neptune-like
Kepler-141 b,13.624,0.257,4395.99,0.039,0.008487337,0.0,Terrestrial
Kepler-141 c,13.624,2.57,8983.109999999999,0.067,0.019164955,0.0,Super Earth
Kepler-1420 b,15.894,2.18,8154.88,0.0671,0.0183436,0.0,Super Earth
Kepler-1421 b,12.868,0.749,5925.030000000001,0.0762,0.01889117,0.0,Terrestrial
Kepler-1422 b,15.741,4.74,12869.42,0.1499,0.050924025,0.0,Super Earth
Kepler-1423 b,14.721,1.2,6753.26,0.1586,0.06570842,0.0,Super Earth
Kepler-1424 b,13.756,1.65,7390.36,0.1861,0.08104038,0.0,Super Earth
Kepler-1425 b,13.681,0.779,5988.74,0.1038,0.039698835,0.0,Terrestrial
Kepler-1426 b,15.464,3.05,9938.76,0.1187,0.039151266,0.0,Super Earth
Kepler-1427 b,15.601,1.37,7008.1,0.0197,0.0027378509,0.0,Super Earth
Kepler-1428 b,13.759,3.33,10448.439999999999,0.1059,0.029295003,0.0,Super Earth
Kepler-1429 b,15.053,2.21,8218.59,0.055,0.0123203285,0.0,Super Earth
Kepler-142 b,13.277,4.62,12678.289999999999,0.032,0.0054757018,0.0,Super Earth
Kepler-142 c,13.277,8.55,17827.305,0.057,0.013141684,0.0,Neptune-like
Kepler-142 d,13.277,5.31,13761.36,0.242,0.11444216,0.0,Neptune-like
Kepler-1430 b,15.567,1.76,7517.78,0.0304,0.0068446267,0.0,Super Earth
Kepler-1431 b,15.4,2.76,9365.369999999999,0.0648,0.01615332,0.0,Super Earth
Kepler-1432 b,15.594,5.56,14143.62,0.1696,0.065434635,0.0,Neptune-like
Kepler-1433 b,15.051,3.05,9938.76,0.0516,0.011225188,0.0,Super Earth
Kepler-1434 b,12.198,1.41,7071.81,0.0894,0.022176592,0.0,Super Earth
Kepler-1435 b,12.984,0.566,5479.0599999999995,0.0546,0.0123203285,0.0,Terrestrial
Kepler-1436 b,15.119,2.27,8346.01,0.0907,0.026557151,0.0,Super Earth
Kepler-1437 b,15.701,2.45,8728.27,0.0951,0.029842572,0.0,Super Earth
Kepler-1438 b,14.983,0.779,5988.74,0.0346,0.0062970566,0.0,Terrestrial
Kepler-1439 b,17.0484,2.73,9301.66,0.0594,0.022176592,0.0,Super Earth
Kepler-143 b,13.882,6.39,15030.865,0.127,0.043805614,0.0,Neptune-like
Kepler-143 c,13.882,11.3,21043.211,0.181,0.07419576,0.0,Neptune-like
Kepler-1440 b,14.24,2.13,8027.46,0.2274,0.10924025,0.0,Super Earth
Kepler-1441 b,14.29,2.27,8346.01,0.2346,0.107871324,0.0,Super Earth
Kepler-1442 b,12.114,14.7,24538.761,0.4039,0.22286105,0.0,Neptune-like
Kepler-1443 b,12.313,0.871,6179.87,0.0368,0.006570842,0.0,Terrestrial
Kepler-1444 b,12.363,5.39,13888.78,0.2015,0.091444224,0.0,Neptune-like
Kepler-1445 b,12.407,0.84,6116.16,0.0948,0.02902122,0.0,Terrestrial
Kepler-1446 b,12.595,0.477,5224.219999999999,0.0141,0.0019164955,0.0,Terrestrial
Kepler-1447 b,14.747,8.75,18106.949,0.2836,0.15523614,0.0,Neptune-like
Kepler-1448 b,14.592,3.22,10257.310000000001,0.1058,0.033675566,0.0,Super Earth
Kepler-1449 b,15.142,3.46,10703.279999999999,0.1176,0.03613963,0.0,Super Earth
Kepler-144 b,12.195,2.33,8473.43,0.066,0.01615332,0.0,Super Earth
Kepler-144 c,12.195,2.39,8600.85,0.094,0.027652293,0.0,Super Earth
Kepler-1450 b,15.923,3.57,10894.41,0.2401,0.14921287,0.0,Super Earth
Kepler-1451 b,15.313,11.2,20903.389,0.2101,0.09746748,0.0,Neptune-like
Kepler-1452 b,13.215,7.75,16848.551,0.2697,0.117453806,0.0,Neptune-like
Kepler-1453 b,15.695,7.61,16638.818,0.262,0.12922657,0.0,Neptune-like
Kepler-1454 b,15.009,4.19,11977.48,0.2447,0.12867899,0.0,Super Earth
Kepler-1455 b,16.06,5.31,13761.36,0.2149,0.13497604,0.0,Neptune-like
Kepler-1456 b,15.777,1.55,7262.94,0.1132,0.0495551,0.0,Super Earth
Kepler-1457 b,14.066,4.62,12678.289999999999,0.2668,0.13990417,0.0,Super Earth
Kepler-1458 b,14.434,8.05,17198.106,0.2495,0.13141684,0.0,Neptune-like
Kepler-1459 b,14.893,2.42,8664.560000000001,0.2829,0.17221081,0.0,Super Earth
Kepler-145 b,11.977,37.1,16498.996,0.1699,0.06297057,0.43,Neptune-like
Kepler-145 c,11.977,79.5,26915.735,0.2578,0.117453806,0.11,Gas Giant
Kepler-1460 b,16.166,4.5,12487.16,0.1614,0.08213552,0.0,Super Earth
Kepler-1461 b,15.828,4.78,12933.13,0.1715,0.08021902,0.0,Super Earth
Kepler-1462 b,15.888,14.0,23839.651,0.3094,0.17960301,0.0,Neptune-like
Kepler-1463 b,15.905,4.12,11850.060000000001,0.1694,0.068993844,0.0,Super Earth
Kepler-1464 b,14.358,3.39,10575.859999999999,0.1803,0.087063655,0.0,Super Earth
Kepler-1464 c,14.358,0.972,6371.0,0.0548,0.01451061,0.0,Terrestrial
Kepler-1465 b,14.724,3.78,11276.67,0.1939,0.087063655,0.0,Super Earth
Kepler-1466 b,14.026,3.02,9875.050000000001,0.1942,0.085420944,0.0,Super Earth
Kepler-1467 b,15.83,10.9,20553.834,0.2388,0.12895277,0.0,Neptune-like
Kepler-1468 b,15.111,3.64,11021.83,0.0817,0.022450376,0.0,Super Earth
Kepler-1468 c,15.111,1.6,7326.65,0.0466,0.009582478,0.0,Super Earth
Kepler-1468 d,15.111,11.1,20763.567,0.1456,0.053661875,0.0,Neptune-like
Kepler-1469 b,16.2388,8.25,17477.75,0.1466,0.05995893,0.0,Neptune-like
Kepler-146 b,13.921,13.3,23140.541,0.2,0.085420944,0.0,Neptune-like
Kepler-146 c,13.921,9.96,19505.169,0.364,0.20999315,0.0,Neptune-like
Kepler-1470 b,15.252,1.24,6816.97,0.116,0.044626966,0.0,Super Earth
Kepler-1471 b,15.421,2.57,8983.109999999999,0.0453,0.009856262,0.0,Super Earth
Kepler-1472 b,14.666,4.27,12104.9,0.2322,0.104312114,0.0,Super Earth
Kepler-1473 b,13.486,1.81,7581.49,0.116,0.03942505,0.0,Super Earth
Kepler-1474 b,15.35,5.31,13761.36,0.2108,0.099657774,0.0,Neptune-like
Kepler-1475 b,15.36,8.85,18246.771,0.373,0.22505133,0.0,Neptune-like
Kepler-1476 b,15.574,3.43,10639.57,0.0932,0.028473647,0.0,Super Earth
Kepler-1477 b,14.72,1.76,7517.78,0.0911,0.03175907,0.0,Super Earth
Kepler-1478 b,15.409,3.64,11021.83,0.1681,0.07145791,0.0,Super Earth
Kepler-1479 b,13.914,4.01,11658.93,0.1173,0.039698835,0.0,Super Earth
Kepler-147 b,14.134,2.96,9747.630000000001,0.113,0.034496922,0.0,Super Earth
Kepler-147 c,14.134,6.48,15170.687,0.216,0.091444224,0.0,Neptune-like
Kepler-1480 b,14.703,3.43,10639.57,0.1525,0.060506504,0.0,Super Earth
Kepler-1481 b,14.929,2.04,7836.33,0.059,0.01615332,0.0,Super Earth
Kepler-1482 b,13.967,1.01,6434.71,0.1016,0.033675566,0.0,Super Earth
Kepler-1483 b,14.52,2.92,9683.92,0.0958,0.026009582,0.0,Super Earth
Kepler-1484 b,15.351,5.1,13442.81,0.1939,0.083504446,0.0,Neptune-like
Kepler-1485 b,13.411,2.76,9365.369999999999,0.1467,0.05448323,0.0,Super Earth
Kepler-1486 b,15.317,5.99,14471.577,0.2846,0.14948665,0.0,Neptune-like
Kepler-1487 b,13.6,5.18,13570.23,0.0898,0.019986311,0.0,Neptune-like
Kepler-1488 b,13.146,4.12,11850.060000000001,0.2285,0.10896646,0.0,Super Earth
Kepler-1488 c,13.146,3.37,10524.892,0.0658,0.016974675,0.0,Super Earth
Kepler-1489 b,14.983,3.78,11276.67,0.3679,0.22532512,0.0,Super Earth
Kepler-148 b,15.398,3.89,11467.800000000001,0.028,0.0046543465,0.0,Super Earth
Kepler-148 c,15.398,12.6,22441.431,0.05,0.011498973,0.0,Neptune-like
Kepler-148 d,15.398,56.285999999999994,54111.114,0.2607,0.14182067,0.0,Gas Giant
Kepler-1490 b,15.616,9.48,18945.881,0.3729,0.25297743,0.0,Neptune-like
Kepler-1491 b,15.796,2.89,9620.210000000001,0.127,0.045448326,0.0,Super Earth
Kepler-1492 b,14.689,2.83,9492.789999999999,0.1262,0.04599589,0.0,Super Earth
Kepler-1493 b,13.7192,2.57,8983.109999999999,0.1197,0.04106776,0.0,Super Earth
Kepler-1494 b,15.372,9.64,19155.614,0.3982,0.2494182,0.0,Neptune-like
Kepler-1495 b,15.494,8.96,18316.682,0.3677,0.23353869,0.0,Neptune-like
Kepler-1496 b,14.832,5.56,14143.62,0.3211,0.17713894,0.0,Neptune-like
Kepler-1497 b,15.707,3.39,10575.859999999999,0.0817,0.023819301,0.0,Super Earth
Kepler-1498 b,15.352,2.33,8473.43,0.2528,0.13169062,0.0,Super Earth
Kepler-1499 b,13.676,1.81,7581.49,0.2196,0.12101301,0.0,Super Earth
Kepler-149 b,14.152,16.5,26286.536,0.184,0.079945244,0.0,Neptune-like
Kepler-149 c,14.152,3.22,10257.310000000001,0.281,0.15140314,0.0,Super Earth
Kepler-149 d,14.152,14.9,24678.583,0.571,0.4380561,0.0,Neptune-like
Kepler-14 b,12.003,2671.2000000000003,79418.896,0.0771,0.018617386,0.04,Gas Giant
Kepler-1500 b,14.728,1.87,7645.2,0.1236,0.04106776,0.0,Super Earth
Kepler-1501 b,13.683,3.05,9938.76,0.1228,0.039972622,0.0,Super Earth
Kepler-1502 b,14.18,10.2,19854.724,0.2482,0.11416838,0.0,Neptune-like
Kepler-1503 b,15.892,5.77,14191.933,0.3771,0.26338124,0.0,Neptune-like
Kepler-1504 b,15.883,5.18,13570.23,0.3704,0.22532512,0.0,Neptune-like
Kepler-1505 b,13.043,0.749,5925.030000000001,0.1862,0.08459959,0.0,Terrestrial
Kepler-1506 b,15.836,2.3,8409.720000000001,0.1168,0.03832991,0.0,Super Earth
Kepler-1507 b,13.267,0.52,5351.639999999999,0.1234,0.044079397,0.0,Terrestrial
Kepler-1508 b,14.561,2.33,8473.43,0.1629,0.056673512,0.0,Super Earth
Kepler-1509 b,15.455,4.08,11786.35,0.1707,0.06954141,0.0,Super Earth
Kepler-150 b,15.161,2.1,7963.75,0.044,0.009308693,0.0,Super Earth
Kepler-150 c,15.161,13.2,23000.719,0.073,0.020260096,0.0,Neptune-like
Kepler-150 d,15.161,8.2,17407.839,0.104,0.034496922,0.0,Neptune-like
Kepler-150 e,15.161,9.91,19435.258,0.189,0.084325805,0.0,Neptune-like
Kepler-150 f,15.161,12.9,22721.075,1.24,1.7,0.0,Neptune-like
Kepler-1510 b,15.315,11.2,20973.3,0.4089,0.23189595,0.0,Neptune-like
Kepler-1511 b,13.564,3.46,10703.279999999999,0.1753,0.06351814,0.0,Super Earth
Kepler-1512 b,13.451,1.76,7517.78,0.1097,0.055852156,0.0,Super Earth
Kepler-1513 b,13.071,54.06,52782.805,0.5416,0.44052017,0.0,Gas Giant
Kepler-1514 b,11.766,1679.0400000000002,77461.388,0.753,0.5963039,0.4,Gas Giant
Kepler-1514 c,11.766,1.74,7492.295999999999,0.0997,0.028747434,0.32,Super Earth
Kepler-1515 b,12.1,66.14399999999999,59564.172,0.7655,0.5867214,0.0,Gas Giant
Kepler-1516 b,14.65,3.71,11149.25,0.0718,0.019986311,0.0,Super Earth
Kepler-1517 b,12.228,68.688,60892.481,0.078,0.015058179,0.0,Gas Giant
Kepler-1518 b,13.374,9.53,19015.792,0.0593,0.013963039,0.0,Neptune-like
Kepler-1519 b,15.124,39.6,44043.93,0.7655,0.65927446,0.0,Gas Giant
Kepler-151 b,14.957,9.59,19085.703,0.116,0.04161533,0.0,Neptune-like
Kepler-151 c,14.957,5.02,13315.39,0.16,0.06762492,0.0,Super Earth
Kepler-1520 b,16.002,28.1,36004.165,0.0129,0.0019164955,0.0,Neptune-like
Kepler-1521 b,13.049,6.8,15590.153,0.2317,0.12895277,0.0,Neptune-like
Kepler-1522 b,14.357,3.64,11021.83,0.0288,0.004928131,0.0,Super Earth
Kepler-1523 b,14.993,3.12,10066.18,0.0185,0.0024640656,0.0,Super Earth
Kepler-1524 b,12.802,12.3,22091.876,0.3392,0.1943874,0.0,Neptune-like
Kepler-1525 b,12.797,0.693,5797.610000000001,0.036,0.006570842,0.0,Terrestrial
Kepler-1526 b,15.935,6.48,15170.687,0.0418,0.010677618,0.0,Neptune-like
Kepler-1527 b,15.161,20.4,29782.086,0.6276,0.43832994,0.0,Neptune-like
Kepler-1528 b,14.576,2.73,9301.66,0.0296,0.004928131,0.0,Super Earth
Kepler-1529 b,15.297,5.06,13379.1,0.0525,0.01451061,0.0,Neptune-like
Kepler-152 b,14.379,8.2,17407.839,0.124,0.049828887,0.0,Neptune-like
Kepler-152 c,14.379,6.3,14891.043,0.356,0.24175224,0.0,Neptune-like
Kepler-1530 b,14.15,3.33,10448.439999999999,0.0371,0.007118412,0.0,Super Earth
Kepler-1530 c,14.15,3.36,10512.15,0.06,0.01451061,0.0,Super Earth
Kepler-1530 d,14.15,10.8,20483.923,0.0865,0.025188226,0.0,Neptune-like
Kepler-1531 b,13.202,1.41,7071.81,0.022,0.003011636,0.0,Super Earth
Kepler-1532 b,15.293,2.39,8600.85,0.0206,0.003011636,0.0,Super Earth
Kepler-1533 b,13.289,11.8,21602.499,0.9625,0.84462696,0.0,Neptune-like
Kepler-1534 b,16.429,4.23,12041.189999999999,0.0599,0.015605749,0.0,Super Earth
Kepler-1535 b,14.385,7.04,15869.797,0.5329,0.38028747,0.0,Neptune-like
Kepler-1536 b,15.464,10.0,19575.08,0.8507,0.9987679,0.0,Neptune-like
Kepler-1537 b,14.827,1.76,7517.78,0.0245,0.003832991,0.0,Super Earth
Kepler-1538 b,15.551,8.35,17617.572,0.6095,0.47939768,0.0,Neptune-like
Kepler-1539 b,15.487,7.75,16848.551,0.4765,0.3649555,0.0,Neptune-like
Kepler-153 b,14.388,8.85,18246.771,0.129,0.051745377,0.0,Neptune-like
Kepler-153 c,14.388,6.94,15799.886,0.237,0.12840521,0.0,Neptune-like
Kepler-1540 b,14.429,6.76,15520.242,0.4426,0.34332648,0.0,Neptune-like
Kepler-1541 b,13.944,1.65,7390.36,0.0781,0.022997946,0.0,Super Earth
Kepler-1542 b,12.734,0.363,4841.96,0.0479,0.0109514035,0.0,Terrestrial
Kepler-1542 c,12.734,0.208,4141.150000000001,0.0389,0.007939767,0.0,Terrestrial
Kepler-1542 d,12.734,0.59,5542.7699999999995,0.0632,0.016427105,0.0,Terrestrial
Kepler-1542 e,12.734,0.363,4841.96,0.0567,0.013963039,0.0,Terrestrial
Kepler-1543 b,13.495,7.8,16918.462,0.0867,0.019164955,0.0,Neptune-like
Kepler-1544 b,14.287,3.82,11340.380000000001,0.5421,0.46214923,0.0,Super Earth
Kepler-1545 b,15.256,7.75,16848.551,0.5442,0.44818616,0.0,Neptune-like
Kepler-1546 b,15.596,9.96,19505.169,0.1366,0.053661875,0.0,Neptune-like
Kepler-1547 b,13.464,0.666,5733.900000000001,0.0165,0.0019164955,0.0,Terrestrial
Kepler-1548 b,15.324,7.46,16498.996,0.4679,0.34168378,0.0,Neptune-like
Kepler-1549 b,15.353,7.13,16009.619,0.6687,0.5883641,0.0,Neptune-like
Kepler-154 b,14.646,5.73,14122.022,0.198,0.09034908,0.0,Neptune-like
Kepler-154 c,14.646,9.01,18386.593,0.303,0.17056811,0.0,Neptune-like
Kepler-154 d,14.646,14.1,23979.473,0.1415,0.056125943,0.0,Neptune-like
Kepler-154 e,14.646,2.86,9556.5,0.047,0.010677618,0.0,Super Earth
Kepler-154 f,14.646,2.86,9556.5,0.0871,0.027104722,0.0,Super Earth
Kepler-1550 b,15.107,9.38,18806.059,0.7681,0.61765915,0.0,Neptune-like
Kepler-1551 b,15.371,7.56,16568.907,0.1772,0.067077346,0.0,Neptune-like
Kepler-1552 b,15.203,6.66,15380.42,0.6045,0.50595486,0.0,Neptune-like
Kepler-1553 b,15.251,1.6,7326.65,0.0481,0.011498973,0.0,Super Earth
Kepler-1554 b,15.93,8.75,18106.949,0.6314,0.54236823,0.0,Neptune-like
Kepler-1555 b,15.425,3.22,10257.310000000001,0.0805,0.022176592,0.0,Super Earth
Kepler-1556 b,15.651,4.5,12487.16,0.0829,0.024093088,0.0,Super Earth
Kepler-1557 b,15.383,2.96,9747.630000000001,0.049,0.010130048,0.0,Super Earth
Kepler-1558 b,13.809,0.244,4332.280000000001,0.0419,0.009582478,0.0,Terrestrial
Kepler-1559 b,14.549,0.299,4587.12,0.018,0.0027378509,0.0,Terrestrial
Kepler-155 b,14.654,5.02,13315.39,0.056,0.01615332,0.0,Super Earth
Kepler-155 c,14.654,5.65,13982.2,0.242,0.14428474,0.0,Neptune-like
Kepler-1560 b,13.505,0.64,5670.1900000000005,0.0397,0.008213553,0.0,Terrestrial
Kepler-1561 b,14.734,1.32,6944.39,0.0194,0.0027378509,0.0,Super Earth
Kepler-1562 b,15.303,12.3,22161.787,0.3308,0.17604381,0.0,Neptune-like
Kepler-1563 b,13.696,0.347,4778.25,0.0442,0.009308693,0.0,Terrestrial
Kepler-1564 b,15.124,2.76,9365.369999999999,0.1327,0.0495551,0.0,Super Earth
Kepler-1565 b,15.381,1.81,7581.49,0.0241,0.0041067763,0.0,Super Earth
Kepler-1566 b,14.564,0.418,5033.09,0.0121,0.0013689254,0.0,Terrestrial
Kepler-1567 b,15.92,7.9,17058.284,0.552,0.421629,0.0,Neptune-like
Kepler-1568 b,14.138,2.24,8282.300000000001,0.1499,0.05722108,0.0,Super Earth
Kepler-1569 b,14.123,3.46,10703.279999999999,0.0654,0.015879534,0.0,Super Earth
Kepler-156 b,14.339,5.9,14331.755,0.054,0.0136892535,0.0,Neptune-like
Kepler-156 c,14.339,7.04,15869.797,0.117,0.043531828,0.0,Neptune-like
Kepler-1570 b,14.242,1.24,6816.97,0.1784,0.072553046,0.0,Super Earth
Kepler-1571 b,13.975,2.92,9683.92,0.0432,0.009308693,0.0,Super Earth
Kepler-1572 b,13.879,0.779,5988.74,0.0614,0.015058179,0.0,Terrestrial
Kepler-1573 b,15.304,1.87,7645.2,0.0364,0.007118412,0.0,Super Earth
Kepler-1574 b,15.188,2.21,8218.59,0.0743,0.01889117,0.0,Super Earth
Kepler-1575 b,15.53,2.27,8346.01,0.0366,0.007118412,0.0,Super Earth
Kepler-1576 b,13.439,1.12,6625.84,0.0726,0.019164955,0.0,Super Earth
Kepler-1577 b,15.228,1.51,7199.23,0.0657,0.017248461,0.0,Super Earth
Kepler-1578 b,15.585,1.12,6625.84,0.0252,0.0041067763,0.0,Super Earth
Kepler-1579 b,15.49,0.52,5351.639999999999,0.014,0.0021902807,0.0,Terrestrial
Kepler-157 b,14.206,2.3,8409.720000000001,0.028,0.0046543465,0.0,Super Earth
Kepler-157 c,14.206,5.65,13982.2,0.11,0.036960986,0.0,Neptune-like
Kepler-157 d,14.206,2.73,9301.66,0.0698,0.019164955,0.0,Super Earth
Kepler-1580 b,12.635,5.1,13442.81,0.323,0.15496235,0.0,Neptune-like
