nom,masse,rayon,rayonOrbite,periodeOrbite,type
K2-152 b,5.86,14261.844,0.1716,0.08925393,Neptune-like
K2-153 b,4.66,12742.0,0.0614,0.02053388,Super Earth
K2-154 b,4.62,12678.289999999999,0.0405,0.010130048,Super Earth
K2-154 c,4.94,13187.97,0.0677,0.021902807,Super Earth
K2-155 b,3.89,11467.800000000001,0.0562,0.017248461,Super Earth
K2-155 c,7.27,16219.352,0.0946,0.038056124,Neptune-like
K2-155 d,4.27,12104.9,0.1937,0.111430526,Super Earth
K2-156 b,1.37,7008.1,0.0149,0.0021902807,Super Earth
K2-158 b,7.46,16498.996,0.0887,0.027652293,Neptune-like
K2-158 c,2.18,8154.88,0.0622,0.01615332,Super Earth
K2-159 b,5.73,14122.022,0.1013,0.03394935,Neptune-like
K2-15 b,6.71,15450.331,0.091,0.03230664,Neptune-like
K2-162 b,2.67,9174.24,0.0795,0.026009582,Super Earth
K2-166 b,5.43,13952.49,0.0858,0.023271732,Neptune-like
K2-167 b,5.75,14122.022,0.0999,0.027378507,Neptune-like
K2-16 b,4.74,12869.42,0.0667,0.020807665,Super Earth
K2-16 c,6.99,15869.797,0.1229,0.05229295,Neptune-like
K2-174 b,7.27,16219.352,0.126,0.053661875,Neptune-like
K2-17 b,5.6,14207.33,0.119,0.049281314,Neptune-like
K2-180 b,11.44182,15729.975,0.0734,0.02436687,Super Earth
K2-181 b,8.45,17687.483,0.0706,0.01889117,Neptune-like
K2-182 b,20.0,16778.64,0.0526,0.012867898,Neptune-like
K2-183 c,5.9,14331.755,0.0932,0.02956879,Neptune-like
K2-183 d,5.9,14331.755,0.1527,0.06187543,Neptune-like
K2-184 b,2.76,9365.369999999999,0.1685,0.046543464,Super Earth
K2-187 b,1.87,7645.2,0.0164,0.0021902807,Super Earth
K2-187 c,2.54,8919.4,0.0392,0.007939767,Super Earth
K2-187 d,6.35,14960.954,0.072,0.01943874,Neptune-like
K2-187 e,4.27,12104.9,0.1106,0.037234772,Super Earth
K2-188 b,2.39,8600.85,0.0289,0.0046543465,Super Earth
K2-188 c,8.4,17617.572,0.0785,0.021355236,Neptune-like
K2-189 b,2.92,9683.92,0.0361,0.007118412,Super Earth
K2-189 c,6.8,15590.153,0.068,0.0183436,Neptune-like
K2-18 b,8.92,14751.221,0.1429,0.09007529,Super Earth
K2-18 c,7.51,16498.996,0.06,0.024640657,Neptune-like
K2-192 b,2.92,9683.92,0.049,0.011498973,Super Earth
K2-193 b,14.8,24608.672,0.1184,0.04052019,Neptune-like
K2-195 b,9.96,19505.169,0.1208,0.043531828,Neptune-like
K2-197 b,7.08,15939.708,0.0806,0.022997946,Neptune-like
K2-199 b,6.9,11021.83,0.0382,0.008761123,Super Earth
K2-199 c,12.4,17757.394,0.0662,0.020260096,Neptune-like
K2-19 b,32.4,43624.464,0.074,0.02162902,Neptune-like
K2-19 c,10.8,25587.426,0.0971,0.032580424,Neptune-like
K2-19 d,10.0,7071.81,0.0344,0.0068446267,Super Earth
K2-212 b,7.51,16498.996,0.0785,0.026830938,Neptune-like
K2-214 b,6.48,15170.687,0.0834,0.023545519,Neptune-like
K2-216 b,8.0,11149.25,0.028,0.006023272,Super Earth
K2-21 b,4.04,11722.640000000001,0.076,0.025462013,Neptune-like
K2-21 c,6.76,15520.242,0.107,0.042436685,Super Earth
K2-220 b,6.3,14891.043,0.1104,0.037508555,Neptune-like
K2-222 b,6.3,14891.043,0.1211,0.042162903,Neptune-like
K2-223 b,0.64,5670.1900000000005,0.0127,0.0013689254,Terrestrial
K2-223 c,2.86,9556.5,0.0549,0.012594113,Super Earth
K2-224 b,3.05,9938.76,0.0516,0.0123203285,Super Earth
K2-224 c,6.39,15030.865,0.0886,0.027652293,Neptune-like
K2-225 b,12.0,21742.321,0.134,0.043531828,Neptune-like
K2-226 b,2.99,9811.34,0.0413,0.009034907,Super Earth
K2-228 b,1.92,7708.91,0.0338,0.0073921974,Super Earth
K2-229 b,2.49,6371.0,0.0131,0.0016427105,Super Earth
K2-229 c,21.3,12933.13,0.0769,0.022724163,Super Earth
K2-22 b,445.2,14331.755,0.009,0.0010951404,Neptune-like
K2-230 b,4.5,12487.16,0.0409,0.007939767,Super Earth
K2-232 b,126.56400000000001,69911.0,0.10356,0.030663928,Gas Giant
K2-233 b,11.26,8556.253,0.03308,0.0068446267,Super Earth
K2-233 c,12.81,8161.250999999999,0.06666,0.01943874,Super Earth
K2-233 d,21.14,14681.31,0.15224,0.06680356,Super Earth
K2-237 b,433.43399999999997,101021.395,0.03558,0.006023272,Gas Giant
K2-238 b,273.48,90884.3,0.046,0.008761123,Gas Giant
K2-239 b,1.37,7008.1,0.0441,0.014236824,Super Earth
K2-239 c,0.972,6371.0,0.0576,0.021355236,Terrestrial
K2-239 d,1.37,7008.1,0.0685,0.027652293,Super Earth
K2-240 b,4.66,12742.0,0.0513,0.016427105,Super Earth
K2-240 c,3.89,11467.800000000001,0.1159,0.056125943,Super Earth
K2-241 b,7.04,15869.797,0.1567,0.0733744,Neptune-like
K2-242 b,6.99,15869.797,0.0494,0.01779603,Neptune-like
K2-243 b,5.35,13825.07,0.1087,0.031485286,Neptune-like
K2-243 c,4.7,12805.71,0.1817,0.068172485,Super Earth
K2-244 b,3.71,11149.25,0.1418,0.057768654,Super Earth
K2-245 b,17.4,27055.557,0.0959,0.032580424,Neptune-like
K2-246 b,12.0,21742.321,0.0602,0.015879534,Neptune-like
K2-247 b,5.14,13506.52,0.0304,0.0062970566,Neptune-like
K2-247 c,5.43,13952.49,0.0615,0.01779603,Neptune-like
K2-248 b,7.13,16009.619,0.0699,0.019712524,Neptune-like
K2-249 b,8.2,17407.839,0.1151,0.03394935,Neptune-like
K2-24 b,19.0,33697.102,0.154,0.05722108,Neptune-like
K2-24 c,15.4,46770.459,0.247,0.11581109,Neptune-like
K2-250 b,6.53,15240.598,0.0459,0.0109514035,Neptune-like
K2-251 b,6.12,14681.31,0.0694,0.025462013,Neptune-like
K2-252 b,3.68,11085.539999999999,0.1041,0.03778234,Super Earth
K2-254 b,3.29,10384.73,0.0448,0.011225188,Super Earth
K2-254 c,5.43,13952.49,0.0923,0.033127997,Neptune-like
K2-255 b,8.75,18106.949,0.0274,0.0054757018,Neptune-like
K2-256 b,7.41,16429.085,0.0578,0.015058179,Neptune-like
K2-257 b,0.498,5287.929999999999,0.0216,0.0043805614,Terrestrial
K2-258 b,9.27,18736.148,0.149,0.05229295,Neptune-like
K2-259 b,5.99,14471.577,0.1271,0.042436685,Neptune-like
K2-25 b,24.5,21392.766,0.0287,0.009582478,Neptune-like
K2-260 b,451.56,108501.872,0.0404,0.007118412,Gas Giant
K2-261 b,59.784,59424.35,0.1034,0.03175907,Gas Giant
K2-263 b,14.8,15030.865,0.2573,0.13908282,Super Earth
K2-264 b,5.61,14213.701,0.05023,0.015879534,Neptune-like
K2-264 c,7.6,16638.818,0.11283,0.053935662,Neptune-like
K2-265 b,6.54,10894.41,0.03376,0.006570842,Super Earth
K2-266 b,11.26782,20553.834,0.01306,0.0019164955,Neptune-like
K2-266 c,0.29013,4491.554999999999,0.0679,0.021355236,Terrestrial
K2-266 d,8.9,18246.771,0.1035,0.040246405,Neptune-like
K2-266 e,14.3,17058.284,0.1249,0.05338809,Neptune-like
K2-268 b,2.86,9556.5,0.0308,0.006023272,Super Earth
K2-268 c,7.7,16778.64,0.0819,0.025462013,Neptune-like
K2-269 b,3.09,10002.470000000001,0.0531,0.011225188,Super Earth
K2-26 b,7.61,16638.818,0.0962,0.039972622,Neptune-like
K2-270 b,2.48,8791.98,0.0247,0.0041067763,Super Earth
K2-270 c,9.01,18386.593,0.0497,0.012046544,Neptune-like
K2-271 b,41.658,45372.239,0.077,0.023545519,Gas Giant
K2-272 b,9.96,19505.169,0.1007,0.039698835,Neptune-like
K2-273 b,9.53,19015.792,0.0729,0.032032855,Neptune-like
K2-274 b,4.98,13251.68,0.0964,0.038603697,Super Earth
K2-275 b,6.08,14611.399,0.0277,0.009034907,Neptune-like
K2-275 c,5.52,14079.91,0.0881,0.022997946,Neptune-like
K2-276 b,13.7,23490.096,0.1291,0.051197812,Neptune-like
K2-277 b,4.94,13187.97,0.0675,0.017248461,Super Earth
K2-278 b,9.17,18596.326,0.0488,0.009034907,Neptune-like
K2-279 b,1.92,7708.91,0.067,0.01943874,Super Earth
K2-27 b,30.9,27964.4,0.06702,0.018617386,Neptune-like
K2-280 b,37.1,46770.459,0.1461,0.05448323,Neptune-like
K2-281 b,50.88,51035.03,0.0773,0.023819301,Gas Giant
K2-282 b,6.8,15590.153,0.0499,0.011498973,Neptune-like
K2-283 b,12.2,21952.054,0.0291,0.005201916,Neptune-like
K2-284 b,8.15,17337.928,0.04771,0.013141684,Neptune-like
K2-285 b,9.68,16149.441,0.03817,0.009582478,Super Earth
K2-285 c,15.68,22021.965,0.0824,0.01943874,Neptune-like
K2-285 d,6.5,15450.331,0.1178,0.028747434,Neptune-like
K2-285 e,10.7,12423.449999999999,0.18041,0.04052019,Neptune-like
K2-286 b,5.06,13379.1,0.1768,0.07501711,Neptune-like
K2-287 b,100.17,59214.617,0.1206,0.040793974,Gas Giant
K2-288 B b,4.27,12104.9,0.164,0.08596852,Super Earth
K2-289 b,61.056000000000004,56767.732,0.107,0.03613963,Gas Giant
K2-28 b,5.99,14471.577,0.0214,0.0062970566,Neptune-like
K2-290 b,10.9,19085.703,0.0923,0.025188226,Super Earth
K2-290 c,246.132,70330.466,0.305,0.13251199,Gas Giant
K2-291 b,6.49,10123.519,0.03261,0.006023272,Super Earth
K2-292 b,24.5,16429.085,0.13,0.046543464,Neptune-like
K2-295 b,106.53,62710.167,0.0451,0.0109514035,Gas Giant
K2-29 b,232.14,83194.09,0.04217,0.009034907,Gas Giant
K2-30 b,184.12199999999999,72637.529,0.04839,0.011225188,Gas Giant
K2-316 b,2.33,8473.43,0.0147,0.003011636,Super Earth
K2-316 c,4.01,11658.93,0.0582,0.01451061,Super Earth
K2-317 b,8.91,18246.771,0.0542,0.016974675,Neptune-like
K2-318 b,3.39,10575.859999999999,0.0911,0.019164955,Super Earth
K2-319 b,8.2,17407.839,0.1516,0.07310062,Neptune-like
K2-31 b,564.1320000000001,74105.66,0.022,0.003559206,Gas Giant
K2-320 b,7.37,16359.174,0.0142,0.0054757018,Neptune-like
K2-321 b,4.46,12423.449999999999,0.041,0.0062970566,Super Earth
K2-322 b,4.35,12232.32,0.0594,0.022450376,Super Earth
K2-323 b,5.06,13379.1,0.1275,0.068172485,Neptune-like
K2-324 b,6.48,15170.687,0.0331,0.009034907,Neptune-like
K2-325 b,5.48,14016.2,0.0419,0.01889117,Neptune-like
K2-326 b,5.82,14191.933,0.0198,0.003559206,Neptune-like
K2-329 b,82.68,54111.114,0.1016,0.034223136,Gas Giant
K2-32 b,15.0,33067.903,0.0795,0.024640657,Neptune-like
K2-32 c,8.1,19575.08,0.13843,0.056673512,Neptune-like
K2-32 d,6.7,21742.321,0.18422,0.08678987,Neptune-like
K2-32 e,2.1,7721.652,0.04899,0.011772759,Super Earth
K2-33 b,1176.6000000000001,31459.95,0.0409,0.014784395,Neptune-like
K2-34 b,539.9639999999999,85780.797,0.0442,0.008213553,Gas Giant
K2-355 b,5.69,14052.111,0.0632,0.015605749,Neptune-like
K2-356 b,5.86,14261.844,0.1599,0.057494868,Neptune-like
K2-357 b,13.4,23210.452,0.145,0.044626966,Neptune-like
K2-358 b,7.65,16708.729,0.0863,0.030937715,Neptune-like
K2-35 b,2.3,8409.720000000001,0.031,0.006570842,Super Earth
K2-35 c,4.38,12296.029999999999,0.055,0.015331964,Super Earth
K2-36 b,3.9,9110.529999999999,0.0223,0.003832991,Super Earth
K2-36 c,7.8,19435.258,0.05574,0.01451061,Neptune-like
K2-37 b,3.22,10257.310000000001,0.0511,0.012046544,Super Earth
K2-37 c,8.0,17128.195,0.0654,0.017522246,Neptune-like
K2-37 d,7.9,17058.284,0.1103,0.038603697,Neptune-like
K2-38 b,7.3,9811.34,0.04994,0.0109514035,Super Earth
K2-38 c,8.3,14261.844,0.09514,0.02902122,Super Earth
K2-39 b,28.6047,39150.16,0.05708,0.012594113,Neptune-like
K2-3 b,6.48,12614.58,0.074,0.027652293,Super Earth
K2-3 c,2.14,9938.76,0.1345,0.06735113,Super Earth
K2-3 d,2.80007,9747.630000000001,0.2097,0.12210814,Super Earth
K2-411 b,0.937,6307.29,0.0511,0.008761123,Terrestrial
K2-412 b,5.13,13481.036,0.0586,0.01615332,Neptune-like
K2-413 b,0.363,4841.96,0.0117,0.0021902807,Terrestrial
K2-413 c,2.05,7855.443,0.0426,0.01451061,Super Earth
K2-414 b,1.98,7766.249000000001,0.0487,0.012046544,Super Earth
K2-414 c,4.38,12289.659,0.0552,0.0183436,Super Earth
K2-42 b,5.27,13697.65,0.0617,0.0183436,Neptune-like
K2-43 b,18.5,28104.222,0.03784,0.009582478,Neptune-like
K2-44 b,6.5,15170.687,0.06,0.015605749,Neptune-like
K2-45 b,36.4,41876.689,0.0224,0.0046543465,Neptune-like
K2-46 b,4.86,13060.55,0.13821,0.052566737,Super Earth
K2-47 b,4.23,12041.189999999999,0.1779,0.08651608,Super Earth
K2-48 b,5.65,13982.2,0.1344,0.056125943,Neptune-like
K2-49 b,4.38,12296.029999999999,0.0309,0.007665982,Super Earth
K2-4 b,5.06,13379.1,0.078,0.027378507,Neptune-like
K2-50 b,3.15,10129.890000000001,0.0705,0.024093088,Super Earth
K2-52 b,45792.0,112277.066,0.054,0.009582478,Gas Giant
K2-53 b,7.27,16219.352,0.098,0.03340178,Neptune-like
K2-54 b,1.6,7326.65,0.0671,0.026830938,Super Earth
K2-55 b,14.0,23839.651,0.03486,0.007665982,Neptune-like
K2-57 b,5.06,13379.1,0.0746,0.024640657,Neptune-like
K2-58 b,7.65,16708.729,0.0692,0.01943874,Neptune-like
K2-58 c,3.26,10321.02,0.035,0.0068446267,Super Earth
K2-58 d,3.57,10894.41,0.1517,0.062696785,Super Earth
K2-59 b,6.39,15030.865,0.1354,0.056673512,Neptune-like
K2-59 c,5.9,14331.755,0.0905,0.030937715,Neptune-like
K2-5 b,4.31,12168.609999999999,0.0532,0.015605749,Super Earth
K2-5 c,5.73,14122.022,0.0818,0.029842572,Neptune-like
K2-60 b,135.468,47749.213,0.045,0.008213553,Gas Giant
K2-61 b,6.71,15450.331,0.0392,0.007118412,Neptune-like
K2-62 b,5.22,13633.94,0.0636,0.0183436,Neptune-like
K2-62 c,5.22,13633.94,0.1148,0.044353183,Neptune-like
K2-63 b,10.5,20064.457,0.1627,0.05557837,Neptune-like
K2-63 c,14.5,24329.028,0.189,0.069815196,Neptune-like
K2-64 b,4.94,13187.97,0.0619,0.01779603,Super Earth
K2-65 b,3.12,10066.18,0.1014,0.034496922,Super Earth
K2-66 b,21.3,15520.242,0.05983,0.013963039,Super Earth
K2-68 b,3.12,10066.18,0.0708,0.022176592,Super Earth
K2-69 b,5.99,14471.577,0.0591,0.01943874,Neptune-like
K2-6 b,6.8,15590.153,0.1898,0.08459959,Neptune-like
K2-70 b,8.7,18037.038,0.1112,0.03832991,Neptune-like
K2-71 b,5.27,13697.65,0.0559,0.019164955,Neptune-like
K2-72 b,1.28,6880.68,0.04,0.015331964,Super Earth
K2-72 c,1.65,7390.36,0.078,0.04161533,Super Earth
K2-72 d,1.01,6434.71,0.05,0.021355236,Super Earth
K2-72 e,2.21,8218.59,0.106,0.066255994,Super Earth
K2-73 b,6.57,15310.509,0.07619,0.02053388,Neptune-like
K2-74 b,5.95,14401.666,0.1402,0.053661875,Neptune-like
K2-75 b,7.61,16638.818,0.081,0.021355236,Neptune-like
K2-75 c,8.1,17268.017,0.1429,0.050102666,Neptune-like
K2-77 b,604.1999999999999,14331.755,0.076,0.022450376,Neptune-like
K2-79 b,15.4,25237.871,0.0987,0.030116359,Neptune-like
K2-7 b,7.61,16638.818,0.1814,0.07857632,Neptune-like
K2-80 b,4.7,12805.71,0.135,0.05229295,Super Earth
K2-80 c,2.76,9365.369999999999,0.0596,0.015331964,Super Earth
K2-81 b,4.54,12550.869999999999,0.059,0.01670089,Super Earth
K2-83 b,2.08,7925.524,0.03014,0.0073921974,Super Earth
K2-83 c,2.8,9448.193000000001,0.07131,0.027378507,Super Earth
K2-84 b,6.39,15030.865,0.0665,0.017522246,Neptune-like
K2-84 c,4.78,12933.13,0.1768,0.076386034,Super Earth
K2-85 b,1.87,7645.2,0.013,0.0019164955,Super Earth
K2-86 b,4.5,12487.16,0.077,0.024093088,Super Earth
K2-87 b,44.837999999999994,47399.658,0.094,0.026557151,Gas Giant
K2-88 b,2.04,7836.33,0.0345,0.012594113,Super Earth
K2-89 b,0.17,3918.165,0.01462,0.003011636,Terrestrial
K2-8 b,12.5,22301.609,0.0856,0.028473647,Neptune-like
K2-8 c,6.39,15030.865,0.0532,0.013963039,Neptune-like
K2-90 b,7.27,16219.352,0.096,0.037508555,Neptune-like
K2-90 c,2.24,8282.300000000001,0.035,0.007939767,Super Earth
K2-91 b,1.37,7008.1,0.0164,0.003832991,Super Earth
K2-95 b,11.0,20623.745,0.0525,0.027652293,Neptune-like
K2-97 b,152.64,66205.71699999999,0.086,0.022997946,Gas Giant
K2-98 b,32.2,32438.704,0.0974,0.027652293,Neptune-like
K2-99 b,308.46,73126.906,0.1597,0.050102666,Gas Giant
K2-9 b,5.69,14052.111,0.091,0.050376453,Neptune-like
Kappa Andromedae b,4329.888,76902.1,55.0,253.1,Gas Giant
Kappa Coronae Borealis b,636.0,83194.09,2.76,3.4,Gas Giant
Kapteyn c,7.0,15869.797,0.311,0.33264887,Neptune-like
KELT-10 b,215.92200000000003,97805.489,0.0525,0.011498973,Gas Giant
KELT-11 b,54.37800000000001,94379.85,0.06229,0.012867898,Gas Giant
KELT-12 b,302.09999999999997,124441.58,0.06708,0.0136892535,Gas Giant
KELT-14 b,408.312,121854.873,0.03005,0.0046543465,Gas Giant
KELT-15 b,416.58000000000004,121645.14,0.04613,0.009034907,Gas Giant
KELT-16 b,874.5,98924.065,0.02044,0.0027378509,Gas Giant
KELT-17 b,416.58000000000004,106614.275,0.04881,0.008487337,Gas Giant
KELT-18 b,375.23999999999995,109760.27,0.0455,0.007939767,Gas Giant
KELT-19 A b,1294.26,133530.00999999998,0.0637,0.012594113,Gas Giant
KELT-1 b,8659.14,77601.21,0.02466,0.003285421,Gas Giant
KELT-20 b,1075.476,121715.051,0.0542,0.009582478,Gas Giant
KELT-21 b,1243.38,110878.846,0.05224,0.009856262,Gas Giant
KELT-23 A b,298.284,92492.253,0.03302,0.0062970566,Gas Giant
KELT-24 b,1647.24,88926.792,0.06969,0.015331964,Gas Giant
KELT-2 A b,540.6,94379.85,0.05497,0.011225188,Gas Giant
KELT-3 b,616.92,109061.16,0.04123,0.0073921974,Gas Giant
KELT-4 A b,286.836,118778.789,0.04317,0.008213553,Gas Giant
KELT-6 b,165.36,90884.3,0.07939,0.021355236,Gas Giant
KELT-6 c,1179.78,81096.76,2.39,3.5,Gas Giant
KELT-7 b,442.02,111857.6,0.04415,0.0073921974,Gas Giant
KELT-8 b,209.88000000000002,113255.82,0.0455,0.008761123,Gas Giant
KELT-9 b,915.8399999999999,132201.701,0.03462,0.0041067763,Gas Giant
Kepler-1000 b,20.3,29712.175,0.5337,0.32854208,Neptune-like
Kepler-1001 b,10.1,19644.991,0.1129,0.039151266,Neptune-like
Kepler-1001 c,3.11,10053.438,0.084,0.025188226,Super Earth
Kepler-1002 b,3.57,10894.41,0.0564,0.011772759,Super Earth
Kepler-1003 b,3.82,11340.380000000001,0.0444,0.009856262,Super Earth
Kepler-1004 b,32.5,39150.16,0.0671,0.01451061,Neptune-like
Kepler-1005 b,2.86,9556.5,0.0669,0.01779603,Super Earth
Kepler-1006 b,2.99,9811.34,0.1464,0.054209445,Super Earth
Kepler-1007 b,2.67,9174.24,0.048,0.014236824,Super Earth
Kepler-1008 b,2.18,8154.88,0.0951,0.03394935,Super Earth
Kepler-1009 b,5.35,13825.07,0.0796,0.031211497,Neptune-like
Kepler-100 b,7.34,8409.720000000001,0.072,0.01889117,Super Earth
Kepler-100 c,7.05,14016.2,0.109,0.03504449,Neptune-like
Kepler-100 d,3.0,10257.310000000001,0.2143,0.09664613,Super Earth
Kepler-1010 b,5.99,14471.577,0.193,0.09390828,Neptune-like
Kepler-1011 b,8.6,17897.216,0.0633,0.015879534,Neptune-like
Kepler-1012 b,2.21,8218.59,0.0585,0.015058179,Super Earth
Kepler-1013 b,5.27,13697.65,0.137,0.051745377,Neptune-like
Kepler-1014 b,6.3,14891.043,0.121,0.045448326,Neptune-like
Kepler-1015 b,12.3,22161.787,0.1396,0.043805614,Neptune-like
Kepler-1016 b,5.39,13888.78,0.0307,0.0054757018,Neptune-like
Kepler-1016 c,13.1,22930.808,0.4389,0.28939083,Neptune-like
Kepler-1017 b,4.62,12678.289999999999,0.0702,0.019712524,Super Earth
Kepler-1018 b,7.18,16079.53,0.253,0.13442847,Neptune-like
Kepler-1019 b,2.73,9301.66,0.0221,0.003832991,Super Earth
Kepler-101 b,50.88,35654.61,0.0474,0.009582478,Gas Giant
Kepler-101 c,3.78,7963.75,0.0684,0.016427105,Super Earth
Kepler-1020 b,5.82,14191.933,0.3878,0.26529774,Neptune-like
Kepler-1021 b,6.04,14541.488,0.1034,0.036960986,Neptune-like
Kepler-1022 b,6.17,14751.221,0.0805,0.030116359,Neptune-like
Kepler-1023 b,7.41,16429.085,0.301,0.17002054,Neptune-like
Kepler-1024 b,14.5,24398.939,0.3033,0.1817933,Neptune-like
Kepler-1025 b,4.58,12614.58,0.3344,0.10212183,Super Earth
Kepler-1026 b,5.52,14079.91,0.1977,0.09993155,Neptune-like
Kepler-1027 b,0.64,5670.1900000000005,0.0295,0.005201916,Terrestrial
Kepler-1028 b,2.33,8473.43,0.0354,0.0068446267,Super Earth
Kepler-1029 b,2.13,8027.46,0.047,0.012046544,Super Earth
Kepler-102 b,4.3,2994.37,0.0552,0.01451061,Terrestrial
Kepler-102 c,3.0,3695.18,0.067,0.01943874,Terrestrial
Kepler-102 d,3.8,7517.78,0.0862,0.028199865,Super Earth
Kepler-102 e,8.93,14143.62,0.1162,0.044079397,Super Earth
Kepler-102 f,5.2,5606.4800000000005,0.1655,0.075290896,Terrestrial
Kepler-1030 b,6.71,15450.331,0.1338,0.05284052,Neptune-like
Kepler-1031 b,0.59,5542.7699999999995,0.0218,0.003285421,Terrestrial
Kepler-1032 b,4.16,11913.77,0.0361,0.009034907,Super Earth
Kepler-1033 b,6.85,15660.064,0.0761,0.020807665,Neptune-like
Kepler-1034 b,5.73,14122.022,0.0965,0.033127997,Neptune-like
Kepler-1035 b,1.71,7454.07,0.0386,0.0073921974,Super Earth
Kepler-1036 b,9.32,18806.059,0.4629,0.33648187,Neptune-like
Kepler-1037 b,2.18,8154.88,0.0198,0.003011636,Super Earth
Kepler-1038 b,12.2,22021.965,0.5238,0.40657085,Neptune-like
Kepler-1038 c,2.59,9021.336,0.0692,0.01943874,Super Earth
Kepler-1039 b,2.73,9301.66,0.0184,0.0024640656,Super Earth
Kepler-103 b,9.7,21043.211,0.1269,0.043805614,Neptune-like
Kepler-103 c,36.1,32089.149,0.6372,0.49171802,Neptune-like
Kepler-1040 b,4.98,13251.68,0.6559,0.5505818,Super Earth
Kepler-1041 b,8.96,18316.682,0.1688,0.0678987,Neptune-like
Kepler-1042 b,5.43,13952.49,0.0756,0.027652293,Neptune-like
Kepler-1043 b,7.04,15869.797,0.2159,0.10540725,Neptune-like
Kepler-1044 b,7.61,16638.818,0.0741,0.018617386,Neptune-like
Kepler-1045 b,7.7,16778.64,0.1616,0.07227926,Neptune-like
Kepler-1046 b,3.57,10894.41,0.1167,0.03942505,Super Earth
Kepler-1047 b,5.02,13315.39,0.2939,0.15386721,Super Earth
Kepler-1047 c,0.937,6307.29,0.0434,0.008761123,Terrestrial
Kepler-1048 b,3.22,10257.310000000001,0.059,0.01889117,Super Earth
Kepler-1049 b,0.809,6052.45,0.0349,0.009034907,Terrestrial
Kepler-104 b,19.6,19365.347,0.094,0.031211497,Super Earth
Kepler-104 c,9.96,19505.169,0.153,0.06488707,Neptune-like
Kepler-104 d,12.5,22301.609,0.257,0.14182067,Neptune-like
Kepler-1050 b,3.19,10193.6,0.1313,0.042162903,Super Earth
Kepler-1050 c,2.79,9429.08,0.1622,0.057768654,Super Earth
Kepler-1051 b,11.5,21183.033,0.1891,0.07118412,Neptune-like
Kepler-1052 b,8.91,18246.771,0.2046,0.095551,Neptune-like
Kepler-1053 b,0.904,6243.58,0.0315,0.006570842,Terrestrial
Kepler-1054 b,7.41,16429.085,0.054,0.011772759,Neptune-like
Kepler-1055 b,2.04,7836.33,0.0331,0.0062970566,Super Earth
Kepler-1056 b,9.32,18806.059,0.1629,0.075290896,Neptune-like
Kepler-1057 b,11.2,20973.3,0.1138,0.038603697,Neptune-like
Kepler-1058 b,7.85,16988.373,0.3679,0.30390143,Neptune-like
Kepler-1059 b,3.64,11021.83,0.044,0.010403832,Super Earth
Kepler-105 b,5.1,29991.819,0.066,0.014784395,Neptune-like
Kepler-105 c,4.6,8346.01,0.0711,0.01943874,Super Earth
Kepler-1060 b,6.26,14821.132,0.2495,0.12840521,Neptune-like
Kepler-1061 b,4.58,12614.58,0.0384,0.007665982,Super Earth
Kepler-1062 b,3.75,11212.960000000001,0.0748,0.025462013,Super Earth
Kepler-1063 b,2.83,9492.789999999999,0.1176,0.038603697,Super Earth
Kepler-1064 b,3.02,9875.050000000001,0.1183,0.04517454,Super Earth
Kepler-1065 b,13.4,23280.363,0.0455,0.009856262,Neptune-like
Kepler-1065 c,3.19,10193.6,0.0344,0.006570842,Super Earth
Kepler-1066 b,6.17,14751.221,0.0299,0.005201916,Neptune-like
Kepler-1067 b,0.437,5096.8,0.0162,0.0021902807,Terrestrial
Kepler-1067 c,3.7,11130.137,0.0601,0.014784395,Super Earth
Kepler-1068 b,12.8,22651.164,0.1309,0.046269678,Neptune-like
Kepler-1069 b,3.19,10193.6,0.1685,0.065434635,Super Earth
Kepler-106 b,5.3,5224.219999999999,0.0648,0.016974675,Terrestrial
Kepler-106 c,10.44,15590.153,0.1096,0.037234772,Super Earth
Kepler-106 d,8.1,6052.45,0.1602,0.06570842,Terrestrial
Kepler-106 e,11.17,15939.708,0.2395,0.11991786,Super Earth
Kepler-1070 b,3.64,11021.83,0.0693,0.016974675,Super Earth
Kepler-1071 b,6.26,14821.132,0.0615,0.016974675,Neptune-like
Kepler-1072 b,3.12,10066.18,0.0269,0.0043805614,Super Earth
Kepler-1073 b,5.9,14331.755,0.0805,0.023819301,Neptune-like
Kepler-1073 c,3.33,10448.439999999999,0.0483,0.0109514035,Super Earth
Kepler-1073 d,2.82,9480.048,0.0352,0.0068446267,Super Earth
Kepler-1074 b,2.1,7963.75,0.0536,0.01615332,Super Earth
Kepler-1075 b,2.6,9046.82,0.0208,0.0041067763,Super Earth
Kepler-1076 b,0.437,5096.8,0.0611,0.01670089,Terrestrial
Kepler-1077 b,8.1,17268.017,0.2101,0.094182074,Neptune-like
Kepler-1078 b,4.27,12104.9,0.0388,0.008213553,Super Earth
Kepler-1079 b,3.29,10384.73,0.1092,0.03613963,Super Earth
Kepler-107 b,3.51,9785.856,0.04544,0.008761123,Super Earth
Kepler-107 c,9.39,10174.487,0.06064,0.013415469,Super Earth
Kepler-107 d,3.8,5479.0599999999995,0.08377,0.021902807,Super Earth
Kepler-107 e,8.6,18106.949,0.12639,0.040246405,Neptune-like
Kepler-1080 b,10.8,20483.923,0.3781,0.21163587,Neptune-like
Kepler-1081 b,1.01,6434.71,0.0466,0.010677618,Super Earth
Kepler-1082 b,1.46,7135.52,0.0257,0.0041067763,Super Earth
